NR;SH2;SHfull
116;sh3430;3430 Professional Personnel Attitudes & Characteristics
117;sh3450;3450 Professional Ethics & Standards & Liability
118;sh3470;3470 Impaired Professionals
119;sh3500;3500 Educational Psychology
120;sh3510;3510 Educational Administration & Personnel
121;sh3530;3530 Curriculum & Programs & Teaching Methods
122;sh3550;3550 Academic Learning & Achievement
123;sh3560;3560 Classroom Dynamics & Student Adjustment & Attitudes
124;sh3570;3570 Special & Remedial Education
125;sh3575;3575 Gifted & Talented
126;sh3580;3580 Educational/Vocational Counseling & Student Services
127;sh3600;3600 Industrial & Organizational Psychology
128;sh3610;3610 Occupational Interests & Guidance
129;sh3620;3620 Personnel Management & Selection & Training
130;sh3630;3630 Personnel Evaluation & Job Performance
131;sh3640;3640 Management & Management Training
132;sh3650;3650 Personnel Attitudes & Job Satisfaction
133;sh3660;3660 Organizational Behavior
134;sh3670;3670 Working Conditions & Industrial Safety
135;sh3700;3700 Sport Psychology & Leisure
136;sh3720;3720 Sports
137;sh3740;3740 Recreation & Leisure
138;sh3800;3800 Military Psychology
139;sh3900;3900 Consumer Psychology
140;sh3920;3920 Consumer Attitudes & Behavior
141;sh3940;3940 Marketing & Advertising
142;sh4000;4000 Engineering & Environmental Psychology
143;sh4010;4010 Human Factors Engineering
144;sh4030;4030 Lifespace & Institutional Design
145;sh4050;4050 Community & Environmental Planning
146;sh4070;4070 Environmental Issues & Attitudes
147;sh4090;4090 Transportation
148;sh4100;4100 Intelligent Systems
149;sh4120;4120 Artificial Intelligence & Expert Systems
150;sh4140;4140 Robotics
151;sh4160;4160 Neural Networks
152;sh4200;4200 Forensic Psychology & Legal Issues
153;sh4210;4210 Civil Rights & Civil Law
154;sh4230;4230 Criminal Law & Criminal Adjudication
155;sh4250;4250 Mediation & Conflict Resolution
156;sh4270;4270 Crime Prevention
157;sh4290;4290 Police & Legal Personnel
